"pokedex","name","hp","attack","defense","special_attack","special_defense","speed","is_evolved"
613,"Cubchoo",55,70,40,60,40,40,0
614,"Beartic",95,130,80,70,80,50,1
615,"Cryogonal",80,50,50,95,135,105,0
616,"Shelmet",50,40,85,40,65,25,0
617,"Accelgor",80,70,40,100,60,145,1
618,"Stunfisk",109,66,84,81,99,32,0
619,"Mienfoo",45,85,50,55,50,65,0
620,"Mienshao",65,125,60,95,60,105,1
621,"Druddigon",77,120,90,60,90,48,0
622,"Golett",59,74,50,35,50,35,0
623,"Golurk",89,124,80,55,80,55,1
624,"Pawniard",45,85,70,40,40,60,0
625,"Bisharp",65,125,100,60,70,70,1
626,"Bouffalant",95,110,95,40,95,55,0
627,"Rufflet",70,83,50,37,50,60,0
628,"Braviary",100,123,75,57,75,80,1
629,"Vullaby",70,55,75,45,65,60,0
630,"Mandibuzz",110,65,105,55,95,80,1
631,"Heatmor",85,97,66,105,66,65,0
632,"Durant",58,109,112,48,48,109,0
633,"Deino",52,65,50,45,50,38,0
634,"Zweilous",72,85,70,65,70,58,1
635,"Hydreigon",92,105,90,125,90,98,1
636,"Larvesta",55,85,55,50,55,60,0
637,"Volcarona",85,60,65,135,105,100,1
638,"Cobalion",91,90,129,90,72,108,0
639,"Terrakion",91,129,90,72,90,108,0
640,"Virizion",91,90,72,90,129,108,0
641,"Tornadus Incarnate Forme",79,115,70,125,80,111,0
642,"Thundurus Incarnate Forme",79,115,70,125,80,111,0
643,"Reshiram",100,120,100,150,120,90,0
644,"Zekrom",100,150,120,120,100,90,0
645,"Landorus Incarnate Forme",89,125,90,115,80,101,0
646,"Kyurem",125,130,90,130,90,95,0
647,"Keldeo Ordinary Form",91,72,90,129,90,108,0
648,"Meloetta Aria Forme",100,77,77,128,128,90,0
649,"Genesect",71,120,95,120,95,99,0
650,"Chespin",56,61,65,48,45,38,0
651,"Quilladin",61,78,95,56,58,57,1
652,"Chesnaught",88,107,122,74,75,64,1
653,"Fennekin",40,45,40,62,60,60,0
654,"Braixen",59,59,58,90,70,73,1
655,"Delphox",75,69,72,114,100,104,1
656,"Froakie",41,56,40,62,44,71,0
657,"Frogadier",54,63,52,83,56,97,1
658,"Greninja",72,95,67,103,71,122,1
659,"Bunnelby",38,36,38,32,36,57,0
660,"Diggersby",85,56,77,50,77,78,1
661,"Fletchling",45,50,43,40,38,62,0
662,"Fletchinder",62,73,55,56,52,84,1
663,"Talonflame",78,81,71,74,69,126,1
664,"Scatterbug",38,35,40,27,25,35,0
665,"Spewpa",45,22,60,27,30,29,1
666,"Vivillon",80,52,50,90,50,89,1
667,"Litleo",62,50,58,73,54,72,0
668,"Pyroar",86,68,72,109,66,106,1
669,"Flabébé",44,38,39,61,79,42,0
670,"Floette",54,45,47,75,98,52,1
671,"Florges",78,65,68,112,154,75,1
672,"Skiddo",66,65,48,62,57,52,0
673,"Gogoat",123,100,62,97,81,68,1
674,"Pancham",67,82,62,46,48,43,0
675,"Pangoro",95,124,78,69,71,58,1
676,"Furfrou",75,80,60,65,90,102,0
677,"Espurr",62,48,54,63,60,68,0
678,"Meowstic Male",74,48,76,83,81,104,1
679,"Honedge",45,80,100,35,37,28,0
680,"Doublade",59,110,150,45,49,35,1
681,"Aegislash Shield Forme",60,50,140,50,140,60,1
682,"Spritzee",78,52,60,63,65,23,0
683,"Aromatisse",101,72,72,99,89,29,1
684,"Swirlix",62,48,66,59,57,49,0
685,"Slurpuff",82,80,86,85,75,72,1
686,"Inkay",53,54,53,37,46,45,0
687,"Malamar",86,92,88,68,75,73,1
688,"Binacle",42,52,67,39,56,50,0
689,"Barbaracle",72,105,115,54,86,68,1
690,"Skrelp",50,60,60,60,60,30,0
691,"Dragalge",65,75,90,97,123,44,1
692,"Clauncher",50,53,62,58,63,44,0
693,"Clawitzer",71,73,88,120,89,59,1
694,"Helioptile",44,38,33,61,43,70,0
695,"Heliolisk",62,55,52,109,94,109,1
696,"Tyrunt",58,89,77,45,45,48,0
697,"Tyrantrum",82,121,119,69,59,71,1
698,"Amaura",77,59,50,67,63,46,0
699,"Aurorus",123,77,72,99,92,58,1
700,"Sylveon",95,65,65,110,130,60,1
701,"Hawlucha",78,92,75,74,63,118,0
702,"Dedenne",67,58,57,81,67,101,0
703,"Carbink",50,50,150,50,150,50,0
704,"Goomy",45,50,35,55,75,40,0
705,"Sliggoo",68,75,53,83,113,60,1
706,"Goodra",90,100,70,110,150,80,1
707,"Klefki",57,80,91,80,87,75,0
708,"Phantump",43,70,48,50,60,38,0
709,"Trevenant",85,110,76,65,82,56,1
710,"Pumpkaboo Average Size",49,66,70,44,55,51,0
711,"Gourgeist Average Size",65,90,122,58,75,84,1
712,"Bergmite",55,69,85,32,35,28,0
713,"Avalugg",95,117,184,44,46,28,1
714,"Noibat",40,30,35,45,40,55,0
715,"Noivern",85,70,80,97,80,123,1
716,"Xerneas",126,131,95,131,98,99,0
717,"Yveltal",126,131,95,131,98,99,0
718,"Zygarde 50% Forme",108,100,121,81,95,95,0
719,"Diancie",50,100,150,100,150,50,0
720,"Hoopa Hoopa Confined",80,110,60,150,130,70,0
721,"Volcanion",80,110,120,130,90,70,0
722,"Rowlet",68,55,55,50,50,42,0
723,"Dartrix",78,75,75,70,70,52,1
724,"Decidueye",78,107,75,100,100,70,1
725,"Litten",45,65,40,60,40,70,0
726,"Torracat",65,85,50,80,50,90,1
727,"Incineroar",95,115,90,80,90,60,1
728,"Popplio",50,54,54,66,56,40,0
729,"Brionne",60,69,69,91,81,50,1
730,"Primarina",80,74,74,126,116,60,1
731,"Pikipek",35,75,30,30,30,65,0
732,"Trumbeak",55,85,50,40,50,75,1
733,"Toucannon",80,120,75,75,75,60,1
734,"Yungoos",48,70,30,30,30,45,0
735,"Gumshoos",88,110,60,55,60,45,1
736,"Grubbin",47,62,45,55,45,46,0
737,"Charjabug",57,82,95,55,75,36,1
738,"Vikavolt",77,70,90,145,75,43,1
739,"Crabrawler",47,82,57,42,47,63,0
740,"Crabominable",97,132,77,62,67,43,1
741,"Oricorio Baile Style",75,70,70,98,70,93,0
742,"Cutiefly",40,45,40,55,40,84,0
743,"Ribombee",60,55,60,95,70,124,1
744,"Rockruff",45,65,40,30,40,60,0
745,"Lycanroc Midday Form",75,115,65,55,65,112,1
746,"Wishiwashi Solo Form",45,20,20,25,25,40,0
747,"Mareanie",50,53,62,43,52,45,0
748,"Toxapex",50,63,152,53,142,35,1
749,"Mudbray",70,100,70,45,55,45,0
750,"Mudsdale",100,125,100,55,85,35,1
751,"Dewpider",38,40,52,40,72,27,0
752,"Araquanid",68,70,92,50,132,42,1
753,"Fomantis",40,55,35,50,35,35,0
754,"Lurantis",70,105,90,80,90,45,1
755,"Morelull",40,35,55,65,75,15,0
756,"Shiinotic",60,45,80,90,100,30,1
757,"Salandit",48,44,40,71,40,77,0
758,"Salazzle",68,64,60,111,60,117,1
759,"Stufful",70,75,50,45,50,50,0
760,"Bewear",120,125,80,55,60,60,1
761,"Bounsweet",42,30,38,30,38,32,0
762,"Steenee",52,40,48,40,48,62,1
763,"Tsareena",72,120,98,50,98,72,1
764,"Comfey",51,52,90,82,110,100,0
765,"Oranguru",90,60,80,90,110,60,0
766,"Passimian",100,120,90,40,60,80,0
767,"Wimpod",25,35,40,20,30,80,0
768,"Golisopod",75,125,140,60,90,40,1
769,"Sandygast",55,55,80,70,45,15,0
770,"Palossand",85,75,110,100,75,35,1
771,"Pyukumuku",55,60,130,30,130,5,0
772,"Type: Null",95,95,95,95,95,59,0
773,"Silvally",95,95,95,95,95,95,1
774,"Minior Meteor Form",60,60,100,60,100,60,0
775,"Komala",65,115,65,75,95,65,0
776,"Turtonator",60,78,135,91,85,36,0
777,"Togedemaru",65,98,63,40,73,96,0
778,"Mimikyu",55,90,80,50,105,96,0
779,"Bruxish",68,105,70,70,70,92,0
780,"Drampa",78,60,85,135,91,36,0
781,"Dhelmise",70,131,100,86,90,40,0
782,"Jangmo-o",45,55,65,45,45,45,0
783,"Hakamo-o",55,75,90,65,70,65,1
784,"Kommo-o",75,110,125,100,105,85,1
785,"Tapu Koko",70,115,85,95,75,130,0
786,"Tapu Lele",70,85,75,130,115,95,0
787,"Tapu Bulu",70,130,115,85,95,75,0
788,"Tapu Fini",70,75,115,95,130,85,0
789,"Cosmog",43,29,31,29,31,37,0
790,"Cosmoem",43,29,131,29,131,37,1
791,"Solgaleo",137,137,107,113,89,97,1
792,"Lunala",137,113,89,137,107,97,1
793,"Nihilego",109,53,47,127,131,103,0
794,"Buzzwole",107,139,139,53,53,79,0
795,"Pheromosa",71,137,37,137,37,151,0
796,"Xurkitree",83,89,71,173,71,83,0
797,"Celesteela",97,101,103,107,101,61,0
798,"Kartana",59,181,131,59,31,109,0
799,"Guzzlord",223,101,53,97,53,43,0
800,"Necrozma",97,107,101,127,89,79,0
801,"Magearna",80,95,115,130,115,65,0
802,"Marshadow",90,125,80,90,90,125,0
803,"Poipole",67,73,67,73,67,73,0
804,"Naganadel",73,73,73,127,73,121,1
805,"Stakataka",61,131,211,53,101,13,0
806,"Blacephalon",53,127,53,151,79,107,0
807,"Zeraora",88,112,75,102,80,143,0
808,"Meltan",46,65,65,55,35,34,0
809,"Melmetal",135,143,143,80,65,34,1
